질환명,카테고리,텍스트
신장질환,식사지침,"신장질환으로 투석을 받는 환자는 부종, 고혈압, 심장 부담 및 숨쉬기 어려움을 예방하기 위해 나트륨과 수분을 철저히 통제해야 합니다. 하루 소금 5g(나트륨 2g) 이하를 목표로 국물은 건더기 위주로 먹고 싱겁게 식사해야 합니다. 수분 제한량은 소변량에 따라 조절하되 보통 하루 1L 내외로 관리하며, 물뿐 아니라 커피, 차, 국, 수프 등 실온에서 액체가 되는 모든 음식을 수분 총량에 포함하여 투석 간 체중 증가가 건체중의 5%를 넘지 않도록 해야 합니다."
신장질환,식사지침,"신장질환 투석 환자가 칼륨을 과다 섭취하여 고칼륨혈증이 발생하면 근육 마비, 부정맥은 물론 심정지와 돌연사라는 치명적인 결과를 초래할 수 있습니다. 혈장 칼륨을 정상 범위로 유지하기 위해 하루 칼륨 섭취량은 2,000~3,000mg 이하로 엄격히 제한해야 합니다. 평소 투석 치료의 제거 범위와 정기적인 혈액검사 결과 수치를 기준으로 채소와 과일의 섭취량을 수시로 확인하고 조절하는 식사 관리가 필수적입니다."
신장질환,조리팁,"신장질환 투석 환자가 채소, 과일, 간식을 준비할 때 수분과 칼륨 함량을 낮추는 조리 전처리가 필요합니다. 아보카도, 키위, 멜론, 포도, 토마토(방울토마토), 말린 과일(건포도) 등은 칼륨과 수분이 매우 많으므로 섭취량을 엄격히 계량해야 합니다. 또한 젤라틴, 푸딩, 아이스크림 같은 디저트도 실온에서 액체로 변해 전체 수분량을 늘리므로, 간식 조리 및 섭취 시 과일·채소의 수분까지 총량에 반드시 포함해 계산해야 합니다."
신장질환,음식궁합,"신장질환 투석 환자가 인(P)이 많이 쌓여 고인산혈증이 지속되면 혈관 석회화와 동맥경화가 악화되어 심장질환 위험이 커지고 뼈가 약해지며 피부 가려움증이 생깁니다. 인은 단백질 식품(고기, 생선, 닭고기, 달걀, 콩, 견과류)과 유제품(우유, 요구르트, 치즈), 콜라 등에 많으므로 유제품은 하루 1컵 이하로 조절해야 합니다. 특히 의사에게 처방받은 '인 결합제' 처방약은 식사로 들어온 인을 대변으로 배출시키므로 반드시 식사와 함께 타이밍을 맞춰 복용하는 것이 최고의 음식 궁합입니다."
신장질환,대체식품,"신장질환 투석 환자는 가공식품, 가공육(핫도그, 햄, 소시지, 베이컨), 캔 통조림, 냉동식품, 짠 염장 반찬(김치, 장아찌, 젓갈, 자반생선)을 완전히 피해야 합니다. 가공식품 속 인산염 첨가제와 눈에 보이지 않는 나트륨은 뼈와 심장에 독이 됩니다. 대신 영양 상태 저하와 혈액 단백질인 알부민 수치 하락을 막기 위해 필수아미노산이 풍부한 신선한 생고기, 생선, 달걀 등 질 좋은 단백질(매일 체중 kg당 1.2g) 위주로 식단을 대체하고, 반찬은 덜 짠 저염 무생채나 백김치를 소량 선택해야 합니다."
신장질환,대체식품,"신장질환 투석 환자가 식사 제한으로 체중이 지속 감소하거나 에너지가 부족할 때, 잘못된 보충제를 쓰면 위험합니다. 칼륨이 포함된 소금 대체품, 포화지방이 많은 버터/마가린, 비타민A가 든 일반 종합비타민은 전해질 불균형을 유발하므로 피해야 합니다. 대체재로서 밥, 면, 통곡물 빵에 올리브유나 카놀라유 같은 식물성 기름을 곁들여 칼로리를 안전하게 보충하고, 영양소는 투석 환자용 전용 비타민 제제나 처방 향신료로 대체해야 합니다. (당뇨 합병증 동반 시 열량제는 의료진 상담 필수)"
신장질환,조리팁,"신장질환 투석 환자가 나물, 채소 반찬, 감자 등을 섭취할 때 생으로 먹으면 칼륨 섭취가 급격히 늘어 위험합니다. 채소나 감자의 칼륨 성분을 효과적으로 줄이기 위해서는 조리 전 전처리가 필수적입니다. 먼저 재료의 껍질을 벗기고 최대한 얇고 잘게 썬 뒤 많은 양의 물에 오랜 시간 담갔다가 헹구거나(수침), 끓는 물에 충분히 데친 후 데친 물은 반드시 버리고 찬물에 여러 번 다시 헹구어 조리하는 방법을 사용해야 합니다."
신장질환,조리팁,"신장질환 투석 환자가 집에서 음식을 조리할 때 간장, 된장, 고추장 같은 전통 장류 양념을 눈대중으로 많이 넣으면 나트륨 제한이 불가능해집니다. 염분이 많은 모든 양념류는 반드시 계량 도구를 사용해 최소한의 정량만 넣도록 제한해야 하며, 싱거워진 음식의 맛과 풍미를 보완하기 위해 나트륨이 없는 향신채(파, 마늘 등)나 식초, 레몬즙 같은 산미가 있는 재료를 적극 활용하여 조리해야 합니다."
신장질환,음식궁합,"신장질환 투석 환자는 투석으로 소실되는 알부민과 근육 유지를 위해 단백질을 충분히 섭취해야 하지만, 대다수의 고단백 식품에는 인(P)이 함께 가득 들어 있습니다. 따라서 고기, 생선, 달걀, 닭고기 등의 단백질 원을 식단에 포함할 때는 포화지방과 인 섭취가 한 번에 과해지지 않도록 가공육을 피하고 신선한 살코기 위주로 정량만 곁들이는 철저한 영양 균형 궁합을 고려해야 합니다."
신장질환,대체식품,"신장질환 투석 환자가 인(P) 조절이 필요한 상황에서 현미, 잡곡밥, 메밀국수, 잡곡빵, 잡곡떡을 건강식으로 오해하여 자주 섭취하면 인 수치가 급격히 상승해 뼈가 약해지고 가려움증이 생깁니다. 타 만성질환 식단과 달리 신장질환에서는 인 섭취를 줄이기 위해 잡곡밥 대신 흰쌀밥을 선택하고, 메밀이나 잡곡이 섞인 면 대신 소면이나 우동면 같은 흰국수를 고르며, 잡곡 제품 대신 잡곡이 섞이지 않은 흰빵이나 흰떡을 대체 주식 및 간식으로 선택해야 합니다."
신장질환,대체식품,"신장질환 투석 환자가 음식을 싱겁게 먹기 위해 무작정 소금이나 간장 사용량을 줄이면 식욕 저하와 영양 부족을 초래할 수 있습니다. 짠맛을 강제로 참는 대신, 음식의 맛과 풍미를 살려 저염식을 지속할 수 있도록 돕는 대체 양념을 적극 활용해야 합니다. 소금 대신 식초나 레몬즙의 상큼한 산미를 더하거나, 겨자, 고춧가루, 후추의 매콤한 맛, 그리고 파, 양파, 마늘 같은 천연 향신채를 대체재로 사용하여 조리하는 것이 좋습니다."
신장질환,대체식품,"신장질환 투석 환자가 투석으로 손실되는 단백질을 보충할 때 기름에 튀기거나 인산염 및 나트륨 첨가제가 다량 포함된 가공육 제품을 선택하면 신장과 심장에 강한 부담을 줍니다. 가공 단백질 식품 대신, 가공을 최소화하고 원재료 그대로 조리하여 비교적 담백하고 질 좋은 필수아미노산을 안전하게 공급해 주는 닭고기, 신선한 생선, 기름기를 뺀 로스트비프 등의 저지방 천연 식품을 대체 단백질원으로 선택해야 합니다."
